compound,neg,neu,pos,tweet,,,,
0.8968,0,0.392,0.608,successful communication - I think this nice little exercise is extremely successful.,,,,
0.8126,0,0.106,0.894,@FreshJacobs lol true true,,,,
0.8097,0,0.521,0.479,Photo: littlemisshatter: I think this nice little exercise is extremely successful.,,,,
0.8016,0,0.625,0.375,#LiveBoldly @mebeforeyou @samclaflin @emiliaclarke  once again inspired by two people who inspire me everyday!,,,,
0.7579,0,0.235,0.765,Nana I love you please,,,,
0.7269,0,0.766,0.234,"Dearly beloved media ppl, you take marching orders from PEOTUS, um scolded @ Trump tower, +boost his $/ego, take paycheck from him already."
0.6808,0,0.417,0.583,@DeniseHunnings Please cheer for Brandin Cooks.,,,,
0.6784,0,0.7,0.3,To everyone sitting on their nice comfy couches at home - the news is not lying.,,,,
0.6696,0,0.686,0.314,"@DeniseHunnings Okay, I'm cheering for the Saints to come back and tie it up!",,,
0.6369,0,0.192,0.808,Love you,,,,
0.6369,0,0.756,0.244,There's suddenly HUNDREDS of white caper butterflies all over Brisbane and I'm in love.,,,,
0.6369,0,0.634,0.366,I'm playing along with #ViggleLIVE and enjoying #MomentsOfWonder with @McDonalds #viggle,,,,
0.5983,0,0.204,0.796,Ritchie Rich!,,,,
0.5848,0,0.173,0.827,Better be careful!,,,,
0.5797,0,0.835,0.165,"Saw @mebeforeyou last night, and never have I been more moved and inspired by a film to live life to the fullest!",,,
0.5719,0,0.598,0.402,"@mhmatters lol, you are surprised by delta being unreasonable ?",,,
0.5684,0,0,1,WOOT!!!,,,,
0.4574,0,0.251,0.749,@adamsmasher69 Yes!,,,,
0.4404,0,0.818,0.182,@FreshJacobs aww thanks I didn't have power so I'm in Philly at my sisters house 😢,,,,
0.4376,0,0.257,0.743,So cool!,,,,
0.4003,0.131,0.603,0.266,Help fight food deserts w/ @NakedJuice Retweet to add 1lb fresh produce to 100k goal!,,,,
0.3612,0,0.8,0.2,@DavidArchie would you like to sign this bday card for jordin?,,,,
0.3595,0,0.616,0.384,@His_Dreamgirl @AK_DMB_fan @wzDMBfan @Ocalawriter yeah!,,,,
0.34,0,0.714,0.286,Many people highlight how thin-skin he is.,,,,
0.2732,0.235,0.435,0.33,@aligmroz you win some you lose some,,,,
0.25,0.266,0.312,0.422,@bubsycm seriously wish I could 😩,,,,
0.2023,0,0.833,0.167,@sokatie seeing as it's not long term should be fine 😂,,,,
0.0772,0,0.755,0.245,Want a quick pick-me-up on Mondays?,,,,
0,0,1,0,"Oh jeez, people are following me?",,,
0,0,1,0,@sssyed Here are the slides from my talk.,,,,
0,0,1,0,"That ""G"" life (GLAMma) https://t.co/OvKja4gSa7",,,,
0,0,1,0,Just driving around.,,,,
0,0,1,0,"I'm at LISA16 | USENIX in Boston, MA https://t.co/ZLVfzdf3yo",,,
0,0,1,0,"The (@ Sheraton Boston Hotel in Boston, MA) https://t.co/kE8lMZSKTA",,,
0,0,1,0,"I'm at Boston Logan International Airport (BOS) in Boston, MA https://t.co/8HjJqUmJgc",,,
0,0,1,0,"I'm at City of @RedondoBeachCa in Redondo Beach, CA https://t.co/259Df94UwV",,,
0,0,1,0,@RMdeVienne There is a Men-at-Arms episode on YouTube where they made a real sword out of meteorite.,,,,
0,0,1,0,I have been on Twitter for 7 years and 7 months (since 13 Apr 2009).,,,,
0,0,1,0,#repost.,,,,
0,0,1,0,@kstater91 Your players are coming around!,,,,
0,0,1,0,@Timcast @healthychickie UNBELIEVABLE!!!!,,,,
0,0,1,0,"@kashanacauley @TaureanDoll I'm not using the term ""alt-right.""",,,,
0,0,1,0,@kstater91 The first set of games are over.,,,,
0,0,1,0,@DeniseHunnings He just kicked another FG.,,,,
0,0,1,0,"@DeniseHunnings I also have Matt Prater, the Lions' kicker.",,,
0,0,1,0,@TaureanDoll @tcovey11 @KStater91 @AlanMarston HOLY SH@@!,,,,
0,0,1,0,@KStater91 I'm just BLOWN AWAY that Barkley has zero passing yards.,,,,
0,0,1,0,@iamteresavilleb You have a cactus shop?,,,,
0,0,1,0,@KStater91 Bortles just threw an INT.,,,,
0,0,1,0,@KStater91 Awww you're not watching the Broncos?,,,,
0,0,1,0,@KStater91 I noticed.,,,,
0,0,1,0,I need sleep,,,,
0,0,1,0,@StephNBoots it was Connor,,,,
0,0,1,0,"(go to sleep, regina) https://t.co/gbuwolRSPd",,,
0,0,1,0,currently: https://t.co/EZ1h401spZ,,,,
0,0,1,0,Feb 15 is International Angelman Day #cureangelman,,,,
0,0,1,0,How Fast Should A Web Page Load?,,,,
0,0,1,0,Funday Sunday!,,,,
0,0,1,0,@AK_DMB_fan @His_Dreamgirl @wzDMBfan @Ocalawriter Tracy!,,,,
0,0,1,0,R.I.P stephen gately,,,,
0,0,1,0,9 hour shift done 😀,,,,
0,0,1,0,do u have АSK.FM account?,,,,
0,0,1,0,Husband's Twitter bio 😂😂😂😂😂😂😂 https://t.co/mOwldvyIDC,,,,
0,0,1,0,@karaswisher and so are rest of the world: constantly pointing his skin-thinness.,,,,
0,0,1,0,@SooleyBong ALL OF THE KITTIES!!,,,,
0,0,1,0,@Yourallypally Some pictures that @frak took on Friday night 😀🎆😀 https://t.co/jkr9Eclxzb,,,,
0,0,1,0,@SooleyBong Saw this on fb yesterday!,,,,
0,0,1,0,@Claire2909 @bubsycm @GillsF @Busted @JamesBourne @mattjwillis ahh that's my bday!,,,,
0,0,1,0,@sokatie can't wait!,,,,
0,0,1,0,Dying https://t.co/7MQdLCAsMj,,,,
0,0,1,0,sign this bday card for Jordin!,,,,
0,0,1,0,Travel travel travel.,,,,
0,0,1,0,Exploring the back alleys of Flagstaff.,,,,
0,0,1,0,"The one and only, Willie Nelson!",,,
0,0,1,0,"Every time I see an old tobacco Indian, I think of the Hank Williams song, Kaw-Liga.",,
0,0,1,0,"I need some ""Blue Water-White Sail"" therapy.",,,,
0,0,1,0,@Theresacaputo  has me BAWLING as always!,,,,
0,0,1,0,I checked in to the @McDonalds McCafé Blueberry Pomegranate Smoothie Commercial on #ViggleTV for points!,,,,
0,0,1,0,Make it TWO Manu!,,,,
0,0,1,0,Pop got ejected!,,,,
0,0,1,0,Let's see some D-fence!#GoSpursGo,,,,
0,0,1,0,A Cav is down!,,,,
0,0,1,0,First Spurs game EVER!,,,,
0,0,1,0,@DJSUSSONE classic,,,,
0,0,1,0,“@Bbillions: Baby arch ya backkkkkkk n point ya toesssss” I hear you!,,,,
0,0,1,0,“@arielcherie: @NikFreeman is a lurker.”lol this is correct,,,,
0,0,1,0,Soooooo boring....,,,,
-0.1779,0.175,0.825,0,Many people are saying he is obsessed with media.,,,,
-0.206,0.197,0.654,0.149,RT @Brook_star: Days like yesterday are SO necessary...'twas such a low key turn up!,,,,
-0.296,0.423,0.577,0,@CNN @QuirkyGardener No way.,,,,
-0.4019,0.172,0.828,0,Some pages on your site are probably redundant and hurting your rankings: https://t.co/RqyjNLL2vg #hoboseo,,,,
-0.4071,0.132,0.868,0,"@DeniseHunnings I don't mean to be annoying or to rub it in, but Matt Prater just kicked a 50+ yard FG!!!",,,
-0.5267,0.405,0.595,0,Trapped between my beliefs and principles .,,,,
-0.5423,0.467,0.533,0,Horrid urururur if did not,,,,
-0.5423,0.429,0.571,0,@wzDMBfan I'm worried about our lack of tickets.,,,,
-0.6124,0.556,0.444,0,"Parenting 101: ignore tantrums, not highlight/reward.",,,
-0.6249,0.421,0.579,0,oh no I am 5'1 and three quarters :( https://t.co/UpsxReITkU,,,,
-0.6486,0.518,0.482,0,@CharrMxx @NicoleSmithsonx @ScottGShore @leicspolice dead,,,,
